date,text
19.02.2025,'.
@_FriedrichMerz
 erklärt im #TVDuell, warum wir das Bürgergeld ersetzen werden: „Der Begriff Bürgergeld gibt ein falsches Gefühl. Es wird empfunden als ein bedingungsloses Grundeinkommen. Die Neue Grundsicherung ist eine bessere Formulierung. Das zeigt, dass wir Menschen, die in Not sind, helfen wollen und auch weiter helfen werden!“'
16.02.2025,'Frau Weidel, Sie adeln Herrn Höcke als ein potenzielles Kabinettsmitglied. Herrn Höcke, den jeder in Deutschland ungestraft einen Nazi nennen darf. Das zeigt, wessen Geistes Kind Sie sind. Sie stehen außerhalb dessen, was diese Bundesrepublik Deutschland in der Substanz braucht. #quadrell'
13.02.2025,'Zum Abschluss warnte 
@FriedrichMerz
: „Wir werden in der nächsten Wahlperiode eine Regierung und eine parlamentarische Mehrheit brauchen, die es ermöglicht, den großen Herausforderungen unseres Landes wirklich zu begegnen - in der Migrationspolitik, in der Wirtschaftspolitik und in der Innenpolitik. Und wenn das nicht gelingt, dann werden wir es nicht mehr nur mit 20 Prozent Rechtspopulismus zu tun haben. Dann werden eines Tages die Rechtspopulisten nicht nur eine Sperrminorität hier im Bundestag haben, dann werden sie möglicherweise in die Nähe der Mehrheit kommen.” Die Verantwortung, das zu verhindern, trügen alle demokratischen Parteien der politischen Mitte unseres Landes.'
11.02.2025,'.
@_FriedrichMerz
 direkt zum Anfang von ZDF-#Klartext mit klarer Ansage in Richtung der AfD: „Frau Weidel, wir sind so weit auseinander wie mit keiner anderen Partei. Wir haben nur eine Entscheidung fest getroffen: Mit Ihnen nicht!”'
11.02.2025,'„Die Volkswirtschaft der Bundesrepublik Deutschland ist mittlerweile Schlusslicht in der Europäischen Union. Wir liegen auf dem letzten Platz. Wir schrumpfen im dritten Jahr in Folge Rezession. Das hat es bis jetzt in der Nachkriegsgeschichte in Deutschland nicht ein einziges Mal gegeben. Sie wollen dasselbe so weitermachen wie in den letzten Jahren. Es ist eine ernsthafte Bedrohung, was Sie heute Morgen hier zu diesem Thema gesagt haben!" 
@_FriedrichMerz
 #Bundestag'
10.02.2025,'Morgen findet die letzte große Parlamentsdebatte in dieser Wahlperiode des Deutschen Bundestages statt. Eine passende Gelegenheit, um diese Wahlperiode Revue passieren zu lassen und auch auf das Scheitern der Ampel zurückzublicken. Um 9 Uhr spricht 
@_FriedrichMerz
 dazu im Plenum. Vor der heutigen Fraktionssitzung der Union fasst 
@_FriedrichMerz
 zusammen: „Wir haben in dieser kurzen Wahlperiode doch vieles bewirken können. Die Tatsache, dass Frau Faeser sich dann doch irgendwann entschlossen hat, Grenzkontrollen durchzuführen - bis hin zu Zurückweisungen. Das hätte sie ohne unseren permanenten Druck sicherlich nicht gemacht. Dass vieles noch zu tun bleibt, insbesondere im Bereich der Migration, aber auch der Wirtschaft, ist offensichtlich.“ „Daraus müssen Schlussfolgerungen gezogen werden, die diese Koalition nicht mehr in der Lage ist, zu ziehen. Deswegen ist es gut, dass es dann am übernächsten Sonntag Neuwahlen in Deutschland gibt und wir anschließend uns auf den Weg machen, eine neue Regierung in Deutschland zu bilden“, blickt 
@_FriedrichMerz
 #wiedernachvorne.'
09.02.2025,'.
@_FriedrichMerz
 im #TVDuell an Olaf #Scholz: „Wie weit wollen wir das eigentlich noch treiben mit unserer Verschuldung? Unsere Kinder müssen das irgendwann mal zurückzahlen. Wir sollten in Deutschland irgendwann mal mit den Steuern auskommen, die wir einnehmen. Das sind fast 1000 Mrd. pro Jahr.”'
09.02.2025,"'.
@_FriedrichMerz
 erinnert Olaf Scholz im #TVDuell: „Die Menschen in Deutschland, Herr Bundeskanzler, sind ärmer geworden. Allein die Tatsache, dass wir fast 400.000 Arbeitslose mehr haben. Das sind 400.000 Lebensschicksale, 400.000 Familien, wo ein Ernährer weggefallen ist oder eine Ernährerin.“'
09.02.2025,'.
@_FriedrichMerz
 zu #Scholz im #TVDuell: „Warum schalten Sie mitten in der größten Energiekrise unseres Landes drei gut laufende Kernkraftwerke ab? Was ist das für ein Irrsinn?!”'
09.02.2024,'.
@_FriedrichMerz
 im #TVDuell: „Es geht mit den Zurückweisungen nach Europarecht: Frankreich macht es, Spanien macht es, Dänemark macht es, Schweden macht es, Finnland macht es. Das eigentliche Problem ist, dass in dieser Koalition, insbesondere zwischen #SPD und #Grünen, kein Konsens besteht, wie sie mit diesem Problem umgehen wollen. Da liegt das eigentliche Problem.“'